variable,n_landings,mean,std_between_landings,median,q05,q25,q75,q95,min,max
airspeed_mps,4,22.68267957228093,0.26553649889467507,22.68364476746755,22.42989747901576,22.473774514982363,22.892549824766114,22.93411039228482,22.41892822002411,22.944500534164494
aoa_deg,4,2.8791100024860046,1.566643723153107,3.0892262000172614,1.1041339922310196,2.406197633292053,3.5621385692112133,4.359923336197229,0.7786180819657613,4.559369527943734
sideslip_deg,4,1.4108363993301654,3.025777738184485,1.2433072188346892,-1.436321289632645,-0.9195471951675154,3.57369081333237,4.4925349409866415,-1.5655148132489274,4.72224597290021
descent_rate_mps,4,2.563157480301896,0.2537968561010256,2.5684263343955807,2.2913497564932337,2.443024467946485,2.6885593467509916,2.8275888083793994,2.2534310786299208,2.8623461737865017
groundspeed_mps,4,20.753180706994204,0.5672994519499899,20.62829822389616,20.264011146983588,20.48984480096627,20.891634129924093,21.41718574334209,20.207552733487915,21.54857364669659
pitch_deg,4,-3.2743018114835722,1.3673729161398362,-3.5085087039813976,-4.506172206378508,-3.8040843962220268,-2.978726119242943,-1.71454176709168,-4.681694158917629,-1.3984956790538634
roll_deg,4,0.10735301627798544,0.5482161357119223,0.019482525004067622,-0.3863927528959345,-0.2808120819752489,0.40764762325730197,0.7241174732353901,-0.4127879206261059,0.8032349357299124
pilot_pitch_centered,4,-0.01775282053772335,0.01769395316489116,-0.01841533187182137,-0.035924544077503506,-0.0273317039697905,-0.00883644843975422,0.0013464188697940192,-0.038072754104431755,0.0038921356971810864
pilot_roll_centered,4,0.020018528220439705,0.012427313232902243,0.02427683415642598,0.004986040726880957,0.01734819670594462,0.026947165670921067,0.02908938740361767,0.0018955017321150404,0.02962494283679182
pilot_throttle_norm,4,0.011740762490506682,0.007916130996259938,0.014952767694109931,0.002117685546331481,0.010548247312694811,0.016145282871921803,0.016867032149637334,1.0045104740647741e-05,0.01704746946906622
throttle_output,4,2.6409696220545156,2.5608814542836322,2.03395249473573,0.5091944562277921,0.8251019954740444,3.8498201213162013,5.6225687661275385,0.4302175714162291,6.0657559273303745
q_radps,4,-0.0005778244273736366,0.004347053447304623,-0.000424173052362048,-0.005168595982436278,-0.0032552000973975624,0.0022532026176618775,0.0037978352026727803,-0.005646944953695957,0.004183993348925507
p_radps,4,-0.002124801043463644,0.0025107453475943188,-0.001560023003352656,-0.005056295148650374,-0.0026504536201598,-0.0010343704266565,1.600380556770185e-05,-0.005657755530773017,0.00027859736362375307
