altitude_bin_lower_m,altitude_bin_upper_m,altitude_bin_center_m,variable,n_landings,total_samples,mean,std_between_landings,median,q05,q25,q75,q95,min_landing_mean,max_landing_mean,mean_of_landing_medians
0.0,5.0,2.5,airspeed_mps,4,672,14.170159594404234,6.700616666428773,14.340596308657128,6.984086421901286,11.52483381654118,16.985922086520183,21.11762136695313,5.8488995732413125,22.150546187061373,13.172439098358154
0.0,5.0,2.5,aoa_deg,4,672,-0.11170826758060137,8.734291691755406,3.8146186770367105,-10.679068970487581,-0.6973014392080787,4.400211848664188,4.95879471286214,-13.174510853307456,5.098440428911629,-0.5950927138328552
0.0,5.0,2.5,descent_rate_mps,4,672,0.7716120646445542,0.6139744378074469,0.49323307974636815,0.4198183129738738,0.4611098403756236,0.8037353040152988,1.5131363951726948,0.40949543112343634,1.6904866679620445,0.571017786864014
0.0,5.0,2.5,groundspeed_mps,4,672,13.249496606211846,6.233120262983267,13.776356973926706,6.3239271163486634,10.741108845144085,16.284744734994465,19.437461581274224,5.219631684149808,20.225640792844164,12.14707731431757
0.0,5.0,2.5,p_radps,4,672,0.001904198032656331,0.005841586454106933,0.003881059853243122,-0.0051233632928274,0.00097611296687163,0.004809144919027823,0.006164152809318554,-0.006648232357752158,0.006502904781891238,0.008893423928384412
0.0,5.0,2.5,pilot_pitch_centered,4,672,-0.18235916331064028,0.12270163230732928,-0.17815900458738226,-0.3148554866328848,-0.23380285689323785,-0.12671531100478473,-0.05574306220095698,-0.33511864406779657,-0.038,-0.08499999999999999
0.0,5.0,2.5,pilot_roll_centered,4,672,0.024167146437408634,0.015709315922166355,0.027569833675096838,0.005730030005676751,0.019565404265671885,0.03217157584683358,0.03784050073637703,0.002271186440677966,0.03925773195876289,0.0215
0.0,5.0,2.5,pilot_throttle_norm,4,672,0.011314927380282551,0.007555607939371494,0.014747570660484391,0.0021592521404857597,0.010728464092259304,0.015334033948507637,0.01566490202779677,1.694915254237288e-05,0.015747619047619052,0.01125
0.0,5.0,2.5,pitch_deg,4,672,-2.1250578551863213,8.698978338744395,1.7933834672393916,-12.680525787581601,-2.924740884682525,2.593066496735595,2.9445922258129613,-15.119472013306371,3.032473658082303,-2.8023674845695496
0.0,5.0,2.5,q_radps,4,672,0.010244079157070832,0.005758744001847869,0.011621902648477485,0.0035062704868003168,0.009178388329046331,0.012687593476501984,0.015052934939372029,0.002088241026238813,0.015644270305089542,0.005988369945043826
0.0,5.0,2.5,roll_deg,4,672,0.14085888672019312,0.2110397274212823,0.07598197159784663,-0.019603442273571747,-0.00827818092791991,0.22511903924595966,0.39214889688524296,-0.022434757609984705,0.43390636129506394,0.12896590690128507
0.0,5.0,2.5,sideslip_deg,4,672,11.889754119913828,12.307685158887393,9.842232057221588,0.6282050903160444,6.430195235899824,15.301790941235595,26.017834037280743,-0.8222924460799007,28.69684481129204,13.454274848103523
0.0,5.0,2.5,throttle_output,4,672,1.041234534170668,2.082469068341336,0.0,0.0,0.0,1.041234534170668,3.5401974161802694,0.0,4.164938136682672,0.0
5.0,10.0,7.5,airspeed_mps,4,181,22.895708284290155,0.2646226905930461,22.957828058515275,22.585575869424,22.780289799826487,23.073246542978946,23.11887301524114,22.53689738682338,23.13027963330669,23.17297601699829
5.0,10.0,7.5,aoa_deg,4,181,3.3756778877466385,0.8868875011880716,3.1647545428624113,2.6301522038542493,2.9790401126049,3.5613923180041502,4.416496254476946,2.5429302266665865,4.630272238595145,3.5285841822624207
5.0,10.0,7.5,descent_rate_mps,4,181,2.2936371472261254,0.6061704921136702,2.376340856357664,1.6282446001450466,1.927329725619367,2.742648277964422,2.843244501523051,1.5534733187764664,2.868393557412708,2.7223032712948347
5.0,10.0,7.5,groundspeed_mps,4,181,21.19854809251221,0.8763590441413039,20.836283194121165,20.638257469235487,20.64818613827394,21.386645148359438,22.266009573536397,20.635775301975873,22.485850679830637,21.421280105610798
5.0,10.0,7.5,p_radps,4,181,-3.1125075689918645e-05,0.017859385865477095,0.001083141038335658,-0.01963893408648318,-0.007939993927899118,0.008992009890544855,0.01801671137546753,-0.022563669126129195,0.020272886746698204,0.003655846696346986
5.0,10.0,7.5,pilot_pitch_centered,4,181,-0.012590059249506257,0.023234412786140843,-0.0114,-0.03534497695852535,-0.03040230414746544,0.006412244897959184,0.00849877551020408,-0.03658064516129033,0.009020408163265306,0.0045000000000000005
5.0,10.0,7.5,pilot_roll_centered,4,181,0.01969358130348914,0.012191372825204251,0.023591244239631336,0.005014516129032258,0.01707258064516129,0.026212244897959185,0.028915918367346936,0.002,0.029591836734693875,0.020749999999999998
5.0,10.0,7.5,pilot_throttle_norm,4,181,0.011233772218564846,0.007527517158349204,0.014569585253456223,0.0020951612903225814,0.010475806451612904,0.015327551020408163,0.015702244897959183,0.0,0.01579591836734694,0.01125
5.0,10.0,7.5,pitch_deg,4,181,-1.7360661925331549,1.3003889124888657,-1.7834818764493172,-3.068472540473938,-2.2374162934167043,-1.2821317755657677,-0.3372778871097448,-3.2762366022382463,-0.10106441499573843,-2.3996092000603677
5.0,10.0,7.5,q_radps,4,181,-0.025778456053597486,0.0252129554861684,-0.021883947316931954,-0.054696153468669115,-0.034179198755163794,-0.013483204615365646,-0.002313070869857604,-0.05982539214704545,0.0004794625665194149,-0.0302129597694147
5.0,10.0,7.5,roll_deg,4,181,0.783766249744148,0.7302714680443594,1.0484497150925551,-0.1000647861632917,0.6596760691835412,1.1725398956531619,1.2970404341638178,-0.29,1.328165568791482,0.7311074769496918
5.0,10.0,7.5,sideslip_deg,4,181,1.8355029654614947,1.9936945797840402,1.8999695494204485,-0.314974056482315,0.9946141762392862,2.7408583386426573,3.8957267698627684,-0.6423711146627153,4.184443877667797,2.143200099468231
5.0,10.0,7.5,throttle_output,4,181,2.6664126356213873,2.2296954633344814,1.8582848477473455,1.0913960802417746,1.3277896633483297,3.196907820020403,5.372808094024657,1.032297684465136,5.916783162525722,0.0
10.0,15.0,12.5,airspeed_mps,4,146,24.179235360915204,1.0886393020333032,23.96745908636796,23.22309544722239,23.43477820555369,24.71191624172947,25.43186205897415,23.17017475763957,25.61184851328532,24.348963260650635
10.0,15.0,12.5,aoa_deg,4,146,2.91925630885034,1.5251436349115544,2.9143035672212902,1.350099934382098,1.9446374665413584,3.888922409530272,4.4953465215992505,1.201465551342283,4.646952549616496,3.039445400238037
10.0,15.0,12.5,descent_rate_mps,4,146,2.7750257635572946,0.41315484836324384,2.7189940353579107,2.3829029670037944,2.5554829761198916,2.938536822795314,3.2455929795899325,2.3397579647247704,3.3223570187885874,2.77822256088192
10.0,15.0,12.5,groundspeed_mps,4,146,21.83162910747977,0.9496972674159392,21.794450777595387,20.863976078541246,21.2701746536054,22.355905231469755,22.85133179825643,20.762426434775207,22.9751884399531,21.787861126719264
10.0,15.0,12.5,p_radps,4,146,-0.018590704664864455,0.008791091606432211,-0.017063191577873345,-0.028665238518775102,-0.020677162602286046,-0.014976733640451753,-0.010654689132741363,-0.030662257497897364,-0.009574178005813762,-0.012953537749126512
10.0,15.0,12.5,pilot_pitch_centered,4,146,0.004386382623224729,0.0030241036497916486,0.0031111111111111114,0.0025142857142857146,0.0028571428571428576,0.004640350877192984,0.008043859649122808,0.002428571428571429,0.008894736842105266,0.004
10.0,15.0,12.5,pilot_roll_centered,4,146,0.020753613199665833,0.012789100945568191,0.025961904761904766,0.005342460317460319,0.0198234126984127,0.026892105263157898,0.028873157894736844,0.0017222222222222224,0.029368421052631582,0.020999999999999998
