altitude_bin_lower_m,altitude_bin_upper_m,altitude_bin_center_m,variable,expert_fbwa_n_landings,expert_fbwa_total_samples,expert_fbwa_mean,expert_fbwa_std_between_landings,expert_fbwa_median,expert_fbwa_q05,expert_fbwa_q25,expert_fbwa_q75,expert_fbwa_q95,expert_fbwa_min_landing_mean,expert_fbwa_max_landing_mean,expert_fbwa_mean_of_landing_medians,fail_auto_n_landings,fail_auto_total_samples,fail_auto_mean,fail_auto_std_between_landings,fail_auto_median,fail_auto_q05,fail_auto_q25,fail_auto_q75,fail_auto_q95,fail_auto_min_landing_mean,fail_auto_max_landing_mean,fail_auto_mean_of_landing_medians,mean_diff,abs_mean_diff,mean_pct_diff,median_diff,comparison_mean_outside_reference_iqr,comparison_mean_outside_reference_90pct,diff_in_reference_std
0.0,1.0,0.5,airspeed_mps,11,842,11.52562473243157,6.67950543353458,10.604745567619029,2.7661542090664746,6.242598695729775,16.192307988258257,20.31892254214356,2.3299647097033684,22.69038128852844,11.507381590929898,3,162,12.940614547928456,7.579699208943256,9.79546478632334,7.675364772354387,8.617631445229478,15.69102276982488,20.407469156626107,7.439798104135614,21.586580753326416,13.057621876398722,1.4149898154968863,1.4149898154968863,12.276903407372737,-0.8092807812956888,False,False,0.21184050669274165
0.0,1.0,0.5,aoa_deg,11,842,7.900477145072428,5.604396781321294,5.940991032814634,2.7994821101733267,4.825552966665598,8.702338676068843,18.27676816077848,2.284284494817257,20.87042515094464,7.469068483872847,3,162,3.748887654964451,0.4375314513765315,3.5263568291793,3.473251204736329,3.4968537044887604,3.889656192547566,4.180295683242179,3.4673505797982216,4.2529555559158325,3.723140835762024,-4.151589490107977,4.151589490107977,-52.54859186191491,-2.414634203635334,True,False,-0.7407736554172377
0.0,1.0,0.5,descent_rate_mps,11,842,0.3013750425011803,0.3248840706645093,0.2624513271362771,0.0023057877368501,0.1735856446127299,0.2750500008536848,0.8106496164157733,0.000536092603942,1.2032738886774978,0.267239341681463,3,162,0.7254747960202681,0.7935291107512943,0.2701766617797359,0.2650589544463712,0.2673334910389777,0.9559670338812922,1.5045993315625372,0.2644903202982195,1.6417574059828486,0.706890771787644,0.4240997535190878,0.4240997535190878,140.72159061327278,0.007725334643458814,True,False,1.3053879577772014
0.0,1.0,0.5,groundspeed_mps,11,842,11.47318917042482,7.767825567913614,8.908725860635728,1.9800260069838755,6.026169614180029,16.42106802095846,22.62914457407683,1.4989638439671642,26.672823911953472,11.491747867009106,3,162,11.476551178792375,7.217405562126191,8.444353554145993,6.487351461469222,7.357130169325565,14.079873375935996,18.588289233367995,6.269906784505136,19.715393197726,11.431959999681531,0.0033620083675547363,0.0033620083675547363,0.02930317209639672,-0.4643723064897358,False,False,0.00043281203190788815
0.0,1.0,0.5,p_radps,11,842,-0.0387561666365531,0.0667793610939333,-0.0464165324342207,-0.1073538486468856,-0.085884117392244,-0.0117580053872935,0.0722097504278763,-0.1099307354508013,0.1117725251462763,-0.0391666927713561,3,162,0.0002495771723679,0.0099425809763938,-0.0020708168250214,-0.0077019350612413,-0.0051992158451436,0.0045381731911847,0.0098253652041497,-0.0083276148652657,0.011147163207391,-0.0007253715302795,0.039005743808920995,0.039005743808920995,-100.64396764186814,0.044345715609199296,True,False,0.5840987869598613
0.0,1.0,0.5,pilot_pitch_centered,11,842,-0.0756150652920857,0.1087088812553216,-0.0286753246753246,-0.2545348609479044,-0.1254936914203316,-0.0093535353535353,0.0202308673469387,-0.2988378378378378,0.0486249999999999,-0.074,3,162,-0.1299280069543227,0.2370767895045383,0.0045405405405405,-0.3628459459459459,-0.199563063063063,0.0069413229018492,0.0088619487908961,-0.4036666666666667,0.0093421052631578,-0.1263333333333333,-0.05431294166223699,0.05431294166223699,71.82820176434033,0.0332158652158651,True,False,-0.49961825597923004
0.0,1.0,0.5,pilot_roll_centered,11,842,-0.023533753478987,0.0428505446987679,-0.038927536231884,-0.053658810325477,-0.0494224021592442,-0.0237331081081081,0.0555658627087198,-0.0539595959595959,0.0865194805194805,-0.0314545454545454,3,162,0.0188761656393235,0.0146233333979925,0.0242162162162162,0.0045216216216216,0.0132747747747747,0.0271475817923186,0.0294926742532005,0.0023333333333333,0.030078947368421,0.0186666666666666,0.042409919118310505,0.042409919118310505,-180.20890359108165,0.0631437524481002,True,False,0.9897171533394751
0.0,1.0,0.5,pilot_throttle_norm,11,842,0.0698852520192025,0.0835279079924586,0.0466973684210526,0.0385071955071954,0.0435392098471312,0.0477002314814814,0.1852894935752078,0.0383116883116883,0.3214973544973544,0.0734090909090909,3,162,0.0104063932353406,0.0089492355156218,0.0151621621621621,0.0015912162162162,0.0076227477477477,0.0155679231863442,0.0158925320056899,8.333333333333333e-05,0.0159736842105263,0.0103333333333333,-0.059478858783861895,0.059478858783861895,-85.10931429068724,-0.0315352062588905,True,True,-0.7120836641716443
0.0,1.0,0.5,pitch_deg,11,842,3.632160360325892,2.100235545559138,4.421878885379748,0.421417580039071,1.9789552799244936,5.131874749537021,5.692334450303151,-0.2066682076547294,6.102375518708002,3.5064072358337315,3,162,1.9335542731094704,1.0613136137903376,2.4230272585624144,0.8865527258562415,1.569430295947874,2.542414742997539,2.6379247305456386,0.7158333333333333,2.661802227432664,1.872813490231832,-1.6986060872164217,1.6986060872164217,-46.765723941329945,-1.9988516268173333,True,False,-0.8087693262824994
0.0,1.0,0.5,q_radps,11,842,-0.0064551449941682,0.0188606751984047,-0.0043397826909999,-0.0325596337515263,-0.0211829496481246,0.0039536967475931,0.0204260800843059,-0.0329499423151483,0.0251879888862647,-0.0272313471544872,3,162,-0.0093154665384127,0.0140723345276386,-0.0081195207721729,-0.0223647991701884,-0.016033564326626,-0.0019993958670795,0.0028967040569952,-0.023947607881079,0.0041207290380139,-0.0008698956225998,-0.002860321544244499,0.002860321544244499,44.31072496169508,-0.003779738081173,False,False,-0.15165531001172403
0.0,1.0,0.5,sideslip_deg,11,842,2.9264245736801984,8.883007568304398,1.980465195008687,-5.669061145053885,-1.485822758581569,2.987279620360244,18.36133474841756,-8.852450599115361,25.1276857425005,3.432238855145194,3,162,9.38352565251624,8.63873433074142,13.896342071327004,0.8703242051037584,6.659665478980756,14.363794035457108,14.737755606761189,-0.5770111133654913,14.83124599958721,9.75813126564026,6.457101078836042,6.457101078836042,220.64812935587653,11.915876876318316,True,False,0.7269048269052171
