mavpackettype,TimeUS,C,Roll,Pitch,Yaw,VN,VE,VD,dPD,PN,PE,PD,GX,GY,GZ,OH,_t,t
XKF1,10385011,1,0.0,0.0,0.0,5.4891126637812704e-05,5.236121523921611e-06,0.0108230179175734,0.0013796660350635,0.0,0.0,0.0003580110496841,0.0,0.0,0.0,0.0,1768451519.340377,7.640276
XKF1,10385011,0,0.0,0.0,0.0,-4.754830661113374e-05,3.4356286050751805e-05,0.010937238112092,0.0014829043066129,0.0,0.0,0.0003680249501485,0.0,0.0,0.0,0.0,1768451519.340377,7.640276
XKF1,10424995,1,0.0,0.0,0.0,2.193078034906648e-05,-6.924775516381487e-05,0.0189233217388391,0.0053177336230874,0.0,0.0,0.0009040946606546,0.0,0.0,0.0,0.0,1768451519.380361,7.68026
XKF1,10424995,0,0.0,0.0,0.0,-7.273165101651102e-05,5.25348077644594e-05,0.019089663401246,0.0054655675776302,0.0,0.0,0.00092085840879,0.0,0.0,0.0,0.0,1768451519.380361,7.68026
XKF1,10464979,1,0.0,0.0,0.0,4.84419142594561e-05,3.7836991396034136e-05,0.0270801335573196,0.0152361271902918,0.0,0.0,0.0025424994528293,0.0,0.0,0.0,0.0,1768451519.420345,7.720244
XKF1,10464979,0,0.0,0.0,0.0,-9.201158536598086e-05,8.256620640167966e-05,0.0272210538387298,0.0153618305921554,0.0,0.0,0.002565978327766,0.0,0.0,0.0,0.0,1768451519.420345,7.720244
XKF1,10504963,0,0.0,0.0,0.0,-0.0001309317303821,0.0001153861085185,0.0346727892756462,0.0337840355932712,0.0,0.0,0.003084180643782,0.0,0.0,0.0,0.0,1768451519.460329,7.760228
XKF1,10504963,1,0.0,0.0,0.0,5.6003715144470334e-05,-3.889593062922359e-05,0.0345786474645137,0.0336939916014671,0.0,0.0,0.0030567774083465,0.0,0.0,0.0,0.0,1768451519.460329,7.760228
XKF1,10544947,0,0.0,0.0,0.0,-0.0001494641037425,0.000131308712298,0.0414832681417465,0.015389340929687,0.0,0.0,0.0026269196532666,0.0,0.0,0.0,0.0,1768451519.500313,7.800212
XKF1,10544947,1,0.0,0.0,0.0,1.695269202173222e-05,-2.09994050237583e-05,0.0413765124976635,0.0152873145416378,0.0,0.0,0.002595392987132,0.0,0.0,0.0,0.0,1768451519.500313,7.800212
XKF1,10584931,1,0.0,0.0,0.0,1.382516620651586e-05,-3.0393155611818656e-05,0.0475858636200428,0.0058738570660352,0.0,0.0,0.0029468084685504,0.0,0.0,0.0,0.0,1768451519.540297,7.840196
XKF1,10584931,0,0.0,0.0,0.0,-0.0001958888751687,0.0001523856335552,0.0476859547197818,0.0059732347726821,0.0,0.0,0.0029833714943379,0.0,0.0,0.0,0.0,1768451519.540297,7.840196
XKF1,10624915,1,0.0,0.0,0.0,9.346581464342307e-06,-5.502804560819641e-05,0.0530264191329479,-0.0201361458748579,0.0,0.0,-0.0017001640517264,0.0,0.0,0.0,0.0,1768451519.580281,7.88018
XKF1,10624915,0,0.0,0.0,0.0,-0.0002197341091232,0.000170263738255,0.0531469620764255,-0.0200318302959203,0.0,0.0,-0.001660818583332,0.0,0.0,0.0,0.0,1768451519.580281,7.88018
XKF1,10664899,1,0.0,0.0,0.0,-3.9192495023598894e-05,-0.0001082404342014,0.0579999461770057,-0.0671474859118461,0.0,0.0,-0.0052362219430506,0.0,0.0,0.0,0.0,1768451519.6202652,7.920164
XKF1,10664899,0,0.0,0.0,0.0,-0.0002589205396361,0.0002024185669142,0.0581069961190223,-0.0670503824949264,0.0,0.0,-0.0051917219534516,0.0,0.0,0.0,0.0,1768451519.6202652,7.920164
