mavpackettype_imu,TimeUS_imu,I,GyrX,GyrY,GyrZ,AccX,AccY,AccZ,EG,EA,T,GH,AH,GHz,AHz,_t_imu,t_imu,t_s,mavpackettype_rcou,TimeUS_rcou,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,_t_rcou,t_rcou
IMU,1745135,0,3.5089922221231973e-06,3.0766796044190414e-06,-2.952220711449627e-05,-0.06385264545679092,-0.05386681109666824,-9.817510604858398,0,0,25.10777473449707,1,1,999,999,1768451510.7005012,0.0,0.0,RCOU,1745135,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451510.7005012,0.0
IMU,1765127,1,-3.828822082141414e-05,0.00010524473327677697,-0.000320178281981498,0.7774060964584351,-0.029300086200237274,-9.818117141723633,0,0,25.109167098999023,1,1,760,799,1768451510.720493,0.019992,0.019992,RCOU,1745135,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451510.7005012,0.0
IMU,1785119,1,-3.8903985114302486e-05,-4.075473407283425e-05,-1.4710847608512267e-05,2.186619758605957,0.04003431275486946,-9.816665649414062,0,0,25.11049461364746,1,1,760,799,1768451510.7404852,0.039984,0.039984,RCOU,1785119,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451510.7404852,0.039984
IMU,1805111,1,0.0001467681140638888,-0.00020980805857107043,9.237124322680756e-05,3.1454410552978516,-0.014566907659173012,-9.815343856811523,0,0,25.111820220947266,1,1,760,799,1768451510.760477,0.059976,0.059975999999999995,RCOU,1785119,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451510.7404852,0.039984
IMU,1825103,1,0.0002884084533434361,0.00027954080724157393,-2.776059955067467e-05,3.5545196533203125,0.005012971814721823,-9.835336685180664,0,0,25.11314582824707,1,1,760,799,1768451510.7804692,0.079968,0.079968,RCOU,1825103,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451510.7804692,0.079968
IMU,1845095,0,-2.6372446882305667e-05,5.93639379076194e-05,-0.0001074144383892417,3.6198909282684326,0.07145768404006958,-9.83626937866211,0,0,25.114471435546875,1,1,999,999,1768451510.800461,0.09996,0.09996,RCOU,1825103,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451510.7804692,0.079968
IMU,1865087,0,7.464217924280092e-05,-5.160777072887868e-05,-8.201056334655732e-05,3.371587038040161,-0.06608910858631134,-9.829986572265625,0,0,25.11579704284668,1,1,999,999,1768451510.8204532,0.119952,0.11995199999999999,RCOU,1865087,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451510.8204532,0.119952
IMU,1885079,1,1.7972330169868656e-05,9.100216266233474e-05,-0.00025713100330904126,2.966171979904175,0.0036979566793888807,-9.824322700500488,0,0,25.117122650146484,1,1,760,799,1768451510.840445,0.139944,0.13994399999999999,RCOU,1865087,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451510.8204532,0.119952
IMU,1905071,0,3.9927995203470346e-06,2.3089416572474875e-05,-5.635363049805164e-05,2.4294381141662598,-0.006646804977208376,-9.822895050048828,0,0,25.11844825744629,1,1,999,999,1768451510.8604372,0.159936,0.159936,RCOU,1905071,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451510.8604372,0.159936
IMU,1925063,0,0.00011937026283703744,-3.2457792258355767e-05,-3.5766701330430806e-05,1.8032867908477783,-0.013515460304915905,-9.819557189941406,0,0,25.119773864746094,1,1,999,999,1768451510.880429,0.179928,0.179928,RCOU,1945055,1500,1500,1000,1500,0,0,0,0,0,0,0,0,0,0,1768451510.9004211,0.19992
