variable,n_landings,mean,std_between_landings,median,q05,q25,q75,q95,min,max
airspeed_mps,13,22.239628773784162,1.7218641984232608,22.2939971551014,19.42636361676097,21.542804393814315,22.82076410842934,24.86251462235051,18.905459774522285,24.956871452010322
aoa_deg,13,3.5179143148989147,1.9169675711575298,3.6416747689189775,0.540660545670818,2.4476257896199947,5.077361855670596,5.896118979334903,0.06949928219644243,6.773570292880068
sideslip_deg,13,0.47500074594459146,3.233706478314298,0.6891228626423229,-3.51006910102834,-2.2995235338946496,2.3737699445838825,5.420546950873266,-5.105612974791266,5.765975292702295
descent_rate_mps,13,2.4880813039196883,0.6428857153933109,2.42020276512084,1.74553512125022,1.8449767094011496,2.9457609327369783,3.48121310479582,1.6664233210282533,3.489022764336638
groundspeed_mps,13,21.84120898916022,2.9205153173696097,21.39202483831294,18.378496159893626,20.391938697077826,22.76960940034418,26.650182325841563,17.3975336774303,29.352016214386573
pitch_deg,13,-2.4334124534326493,3.09334435306818,-2.535191624876953,-7.102583365319035,-4.535762684882046,0.14638416945747262,1.329767292818981,-8.21527332655441,1.8747431186036931
roll_deg,13,0.3928419249036962,1.3372663104963725,0.29310969449861884,-1.2533034669982361,-0.5011204275278415,1.6777462526056162,2.24452542101314,-2.379060982475815,2.3383819756460063
pilot_pitch_centered,13,0.15830355786993044,0.10347896682106596,0.17918090632142186,0.029844229958483966,0.07451727100844445,0.23153639317887015,0.302031994476112,0.024655027975726006,0.3305524494255744
pilot_roll_centered,13,-0.044163218950964866,0.030615399050362153,-0.044734156815406816,-0.08425349121849865,-0.05801276347261343,-0.026428778346136002,-0.0018023667366204085,-0.1165691243495048,0.011479481367252386
pilot_throttle_norm,13,0.10846659460558493,0.06129270335213376,0.0848345766465407,0.04459109293092989,0.04855971672918179,0.15711545638199617,0.20596138216238524,0.04278144933947923,0.21079100500806383
throttle_output,13,7.981460064735229,6.505019929200787,5.505022617846884,1.0096554594054594,1.95659268707483,13.167722680093064,18.28840469069563,0.993581081081081,18.720715320218996
q_radps,13,0.00874316251045752,0.0039205216196996516,0.008554420093565645,0.0043165121256269244,0.006418988190644423,0.010245644159674201,0.014894313923456194,0.0028842015320948693,0.01828165319173631
p_radps,13,-0.0004599177238186841,0.013052646432056437,0.002659909458017746,-0.018832158327565452,-0.010631634376550002,0.004451374564838862,0.020608296273368708,-0.02237270343877486,0.02062395181555316
