altitude_bin_lower_m,altitude_bin_upper_m,altitude_bin_center_m,variable,n_landings,total_samples,mean,std_between_landings,median,q05,q25,q75,q95,min_landing_mean,max_landing_mean,mean_of_landing_medians
0.0,1.0,0.5,airspeed_mps,11,842,11.52562473243157,6.67950543353458,10.604745567619027,2.7661542090664746,6.242598695729775,16.192307988258257,20.31892254214356,2.3299647097033684,22.690381288528442,11.507381590929898
0.0,1.0,0.5,aoa_deg,11,842,7.900477145072428,5.604396781321294,5.940991032814634,2.7994821101733267,4.825552966665598,8.702338676068843,18.276768160778477,2.284284494817257,20.870425150944637,7.469068483872847
0.0,1.0,0.5,descent_rate_mps,11,842,0.3013750425011803,0.32488407066450936,0.26245132713627717,0.002305787736850158,0.17358564461272996,0.2750500008536848,0.8106496164157733,0.0005360926039420101,1.2032738886774978,0.26723934168146307
0.0,1.0,0.5,groundspeed_mps,11,842,11.47318917042482,7.767825567913614,8.908725860635728,1.9800260069838753,6.026169614180029,16.42106802095846,22.62914457407683,1.4989638439671642,26.672823911953472,11.491747867009106
0.0,1.0,0.5,p_radps,11,842,-0.03875616663655318,0.06677936109393333,-0.046416532434220725,-0.10735384864688569,-0.08588411739224401,-0.011758005387293548,0.07220975042787635,-0.10993073545080138,0.11177252514627636,-0.03916669277135619
0.0,1.0,0.5,pilot_pitch_centered,11,842,-0.07561506529208571,0.10870888125532162,-0.028675324675324666,-0.25453486094790445,-0.12549369142033165,-0.009353535353535353,0.020230867346938772,-0.29883783783783785,0.048624999999999995,-0.07400000000000001
0.0,1.0,0.5,pilot_roll_centered,11,842,-0.023533753478987018,0.04285054469876795,-0.03892753623188406,-0.05365881032547701,-0.04942240215924426,-0.02373310810810811,0.055565862708719854,-0.053959595959595985,0.08651948051948052,-0.03145454545454545
0.0,1.0,0.5,pilot_throttle_norm,11,842,0.06988525201920251,0.08352790799245861,0.046697368421052626,0.038507195507195495,0.04353920984713122,0.047700231481481475,0.18528949357520785,0.0383116883116883,0.32149735449735445,0.07340909090909092
0.0,1.0,0.5,pitch_deg,11,842,3.632160360325892,2.100235545559138,4.421878885379748,0.42141758003907104,1.9789552799244936,5.131874749537021,5.692334450303151,-0.20666820765472949,6.102375518708002,3.5064072358337315
0.0,1.0,0.5,q_radps,11,842,-0.006455144994168299,0.018860675198404793,-0.004339782690999989,-0.03255963375152636,-0.021182949648124623,0.0039536967475931935,0.020426080084305943,-0.03294994231514835,0.02518798888626474,-0.02723134715448723
0.0,1.0,0.5,roll_deg,11,842,0.7706440064628016,1.396767612472885,0.8456415496256253,-1.0337365095552524,-0.44553216712807137,1.5818337293533822,2.8313483911745174,-1.047457200327208,3.09692420437932,0.843885996717621
0.0,1.0,0.5,sideslip_deg,11,842,2.9264245736801984,8.883007568304398,1.9804651950086867,-5.669061145053885,-1.4858227585815693,2.987279620360244,18.361334748417562,-8.852450599115361,25.1276857425005,3.432238855145194
0.0,1.0,0.5,throttle_output,11,842,3.9259561087974357,8.725318600090791,1.273972602739726,0.8391540891540892,1.0723684210526314,1.663966049382716,16.0854119425548,0.7432432432432432,30.211640211640212,4.363636363636363
1.0,2.0,1.5,airspeed_mps,12,880,14.063178660555364,7.222999536234335,15.46865479142453,4.236694106421538,7.094774308988381,20.269413606325784,22.012116154697203,4.1833601498450985,23.781251549720764,14.043585499127706
1.0,2.0,1.5,aoa_deg,12,880,7.033892967167293,3.4788787936342707,6.553499367693965,3.231713028701729,4.0154445191224415,9.114694083972545,12.385190263590554,2.57331296056509,14.976521479203397,7.030632634957631
1.0,2.0,1.5,descent_rate_mps,12,880,0.48832568951782,0.3788239818913632,0.32070826878986985,0.07744457492364862,0.25847678925759066,0.7194990195610296,1.1076252746760924,0.06185189866630294,1.334585789591301,0.4737267643214244
1.0,2.0,1.5,groundspeed_mps,12,880,14.21806619257647,7.694525001898299,14.695085272106443,4.1664143398329685,7.143509198011552,19.316916402046225,24.29168142320675,3.6051139304764233,27.454998312869503,14.273015437282572
1.0,2.0,1.5,p_radps,12,880,-0.020574734981946025,0.07295006477316517,-0.017823387376812185,-0.11308764740950554,-0.037934484570121045,-0.0008448319492564559,0.06802236323112058,-0.18251606356352568,0.14791223084864516,-0.023527805838966742
1.0,2.0,1.5,pilot_pitch_centered,12,880,-0.11415494044038327,0.12954538769526486,-0.0743672369789205,-0.34397471819645725,-0.16703345070422534,-0.015357111209570229,0.008213621794871766,-0.3915652173913043,0.028375,-0.10466666666666669
1.0,2.0,1.5,pilot_roll_centered,12,880,-0.013461421109428268,0.07685658248034923,-0.04214402173913044,-0.05403284823284824,-0.04945151006711408,-0.023194216757741352,0.11465042253521114,-0.05420512820512821,0.21773333333333336,-0.021083333333333332
